ACCE_ABSORB_COST	Стоимость сочетания: %d
REFINE_FAILURE_CAN_NOT_ATTACH0	%s нельзя приложить к этому предмету.
REFINE_FAILURE_DEL_ITEM	Улучшение не удалось. Предмет уничтожен.
REFINE_FAILURE_EQUIP_ITEM	Вы не можете улучшить снаряженный предмет.
REFINE_FAILURE_GRADE_DOWN	Улучшение не удалось. Качество предмета ухудшено.
REFINE_FAILURE_KEEP_GRADE	Улучшение не удалось.\nВам повезло, и предмет остался прежним.
REFINE_FAILURE_METIN_INSEPARABLE_ITEM	Нет камня духа для удаления.
REFINE_FAILURE_NEED_BETTER_SCROLL	Вам необходим лучший Свиток улучшения.
REFINE_FAILURE_NO_GOLD_SOCKET	Добавление %s невыполнимо из-за отсутствия золотой оправы.
REFINE_FAILURE_NO_MORE_REINFORCE	Больше усилить нельзя.
REFINE_FAILURE_NO_MORE_SOCKET	Добавление последующих ячеек невозможно.
REFINE_FAILURE_NO_SOCKET0	Добавление %s невыполнимо из-за отсутствия ячейки.
REFINE_FAILURE_SOCKET_DISABLE_ITEM	Добавление ячеек к этому предмету невозможно.
REFINE_FAILURE_UPGRADE_DISABLE_ITEM	Этот предмет нельзя улучшить.
REFINE_POPUP_NO_DOWNGRADE_MESSAGE	Улучшенный предмет нельзя ни ухудшить, ни уничтожить.
REFINE_QUESTION_CONFIRM	Хотите продолжить?
REFINE_QUESTION_WARNING_DOWN_GRADE_AND_REFIX_REMOVE	Если улучшение не удастся, уровень предмета упадет ниже необходимого для эффекта за набор, и эффект пропадет.
REFINE_QUESTION_WARNING_PREFIX_REMOVE	Когда вы улучшаете предмет, эффект за набор пропадает.
REFINE_SUCCESS	Улучшение предмета прошло успешно.
REFINE_SUCCESS_PROBALITY	Шанс на улучшение: %d%%
REFINE_WARNING2	Хотите продолжить улучшение?
RESTART_HERE_BUTTON_TEXT_SUNGMAHEE_GATE	Случайное оживление
RESTART_POPUP_GIVEUP_ELEMENTAL_DUNGEON	Вы погибли. \nВозвращайтесь из Мира стихий!
RESTART_POPUP_GIVEUP_GOLDEN_LAND_STAGE	Если вы умрете, то перенесетесь в Золотую землю.\n\n Совет: вы можете избежать гибели от взрыв-башни, если используете Билет защиты от взрыва.\n
RESTART_POPUP_GIVEUP_MIST_ISLAND	Вы пали в Битве пяти святынь.\n Вы возвращаетесь в деревню.
RESTART_POPUP_GIVEUP_OTHER_WORLD_DUNGEON	Ваш персонаж погиб. \nСкоро вы перенесетесь в город.
RESTART_POPUP_GIVEUP_SUNGMAHEE_TOWER	Горькое поражение! Здесь ваш путь заканчивается.
RESTART_POPUP_RESTART_HERE_SUNGMAHEE_GATE	Вы оживете в случайном месте этой земли.
REVIVE_QUESTION	Хотите оживить %s? Число Призм пробуждения: %d шт.
REVIVE_SELF_QUESTION	Хотите провести оживление? Число Призм пробуждения: %d шт.
ROULETTE_REWARD_TEXT	Получить предмет
SAFEBOX_ERROR	Введён неверный пароль.
SAFEBOX_NEED_CHANGE_PASSWORD	Ваш пароль истек.\nВыберите новый.
SAFEBOX_SELL_DISABLE_SAFEITEM	Продажа сохраннёных предметов невозможна.
SAFEBOX_UNAVILABLE_PASSWORD_01	Вы не можете использовать этот пароль.
SAFEBOX_UNAVILABLE_PASSWORD_02	Пароль должен содержать не менее %d символов.
SAFEBOX_UNAVILABLE_PASSWORD_03	Вы ввели свой действующий пароль. Выберите новый.
SAFEBOX_UNAVILABLE_PASSWORD_04	Пароль не может содержать %d одинак. или идущ. подряд цифр(ы).
SAFEBOX_UNAVILABLE_PASSWORD_05	Специальные символы запрещены. Разрешены символы: a-z, A-Z, 0-9
SAFEBOX_WRONG_PASSWORD	Пароли должны быть идентичными.
SCREENSHOT_SAVE1	сохранен в
SCREENSHOT_SAVE2	Файл скриншота
SCREENSHOT_SAVE_FAILURE	Скриншот не сохранён.
SECOND	Сек
SECOND_CONFIRM_PET_FEED_QUESTION_1	У вашего предмета %d или более бонусов.
SECOND_CONFIRM_PET_FEED_QUESTION_2	Вы точно хотите скормить его вашему питомцу?
SECOND_CONFIRM_SELL_ITEM_QUESTION_1	У вашего предмета %d или более бонусов.
SECOND_CONFIRM_SELL_ITEM_QUESTION_2	Вы точно хотите скормить его вашему питомцу?
SECRET_DUNGEON_CREATE_REWARD_IMPOSSIBLE	Хотите войти в Храм загадки?\nВы больше не можете получать награды дня (осталось: %s)
SECRET_DUNGEON_CREATE_REWARD_POSSIBLE	Хотите войти в Храм загадки?\nВы можете получить награду дня.
SECRET_DUNGEON_ENTER_DUNGEON_RE_REQUEST	Вы должны покинуть группу, если откажетесь входить.\nХотите войти?
SECRET_DUNGEON_ENTER_LIMIT_TIME	Время до входа: %d сек.
SECRET_DUNGEON_ENTER_MEMBER_REWARD_IMPOSSIBLE	Создано подземелье «Храм загадки». Хотите в него войти?\nВы больше не можете получать награды дня (осталось: %s)
SECRET_DUNGEON_ENTER_MEMBER_REWARD_POSSIBLE	Создано подземелье «Храм загадки». Хотите в него войти?\nВы можете получить награду дня.
SECRET_DUNGEON_ENTER_QUESTION_ANSWER_TIMEOVER	Вы решили не входить.
SECRET_DUNGEON_ENTER_QUESTION_NO	Нет
SECRET_DUNGEON_ENTER_QUESTION_YES	Да
SELECT_ATTR_NOTICE	Вы не можете открыть лавку во время использования Зачаровать предмет+.
SELECT_ATTR_NOT_OPEN	Вы не можете использовать предмет Зачаровать предмет+ пока у вас открыта лавка.
SELECT_ATTR_NOT_SELECT	Выбирайте, желаете ли оставить старые бонусы или сменить их на новые.
SELECT_CAN_NOT_DELETE	Удаление персонажа невозможно.
SELECT_CAN_NOT_DELETE_ATTR67	Вы не можете удалить своего персонажа,\nпока добавляется бонус.
SELECT_CAN_NOT_DELETE_GUILD_MEMBER	Вы не можете удалить своего персонажа, пока он состоит в гильдии.
SELECT_CAN_NOT_DELETE_HAVE_SEALED_ITEM	Вы не можете удалить своего персонажа, ведь у него есть зачарованные оковами души предметы.
SELECT_CAN_NOT_DELETE_LAST_CHAR_SAFEBOX	Вы не можете удалить своего единственного персонажа, ведь у вас на складе еще есть предметы.
SELECT_CAN_NOT_DELETE_LIMITE_LEVEL	Вы можете удалить персонажа до 119 уровня включительно.
SELECT_CAN_NOT_DELETE_MARRIAGE	Нельзя удалять женатого/замужнего персонажа.
SELECT_CAN_NOT_DELETE_PREMIUM_PRIVATE_SHOP	В вашей личной лавке еще есть товары.
SELECT_CAN_NOT_DELETE_PRIVATE_CODE_ERROR	Неверный код удаления.
SELECT_CAN_NOT_DELETE_REMAIN_TIME	Вы не можете удалить этого персонажа сразу после создания. Время ожидания: %s
SELECT_CHANGED_NAME	Вы изменили имя персонажа.
SELECT_CHANGE_FAILURE_ALREADY_EXIST_NAME	Персонаж с таким именем уже существует.
SELECT_CHANGE_FAILURE_STRANGE_INDEX	Попробуйте еще раз.
SELECT_CHANGE_FAILURE_STRANGE_NAME	Это неверное имя персонажа.
SELECT_CHANGE_NAME_TITLE	Изменить имя персонажа.
SELECT_DELEING	Удаление запускается...
SELECT_DELETED	Удаление прошло успешно.
SELECT_DO_YOU_DELETE_REALLY	Продолжить?
SELECT_EMPTY_SLOT	Это пустое поле.
SELECT_GM_NAME	ГМ
SELECT_INPUT_CHANGING_NAME	Введите новое имя персонажа.
SELECT_NOT_JOIN_GUILD	Гильдия отсутсвует
SERVER_NOTIFY_CLOSED	Закрытый сервер: могут войти только владельцы учетных записей, созданных до закрытия.
SERVER_STATUS_CLOSE	ЗАКРЫТЫЙ
SERVER_STATUS_NEW	НОВЫЙ
SERVER_STATUS_SPECIAL	ОСОБЫЙ
SERVER_STATUS_STANDBY	ЗАКРЫТЫЙ
SET_ITEM_CLEAR_CONFIRM_QUESTION	Хотите убрать эффект набора?
SET_ITEM_CLEAR_CONFIRM_QUESTION_1	У этого предмета есть бонусы/камни духа (%d).
SET_ITEM_CLEAR_CONFIRM_QUESTION_2	Вы уверены?
SET_ITEM_DO_NOT_EQUIP_ITEM	Надетым предметам снаряжения нельзя добавлять эффекты набора.
SET_ITEM_DO_NOT_SEAL_ITEM	Это нельзя делать с зачарованными оковами души предметами.
SHOP_BUY_INFO	Выберите в окне магазина, предмет который хотите купить.
SHOP_CANNOT_SELL_EQUIPMENT	Вы не можете продать снаряженный предмет.
SHOP_CANNOT_SELL_ITEM	Этот предмет не продаётся.
SHOP_ERROR_UNKNOWN	Неизвестная ошибка магазина: %s
SHOP_EXCEED_LIMIT_TODAY	Вы уже превысили дневной лимит использования очков.
SHOP_INVALID_POS	Применить этот предмет невозможно.
SHOP_INVENTORY_FULL	В инвентаре нет свободного места.
SHOP_LIMITED_DATA_LOADING	Загружаются данные. Попробуйте еще раз позже!
SHOP_LIMITED_ITEM_REMAIN_COUNT	Осталось предметов: %d
SHOP_LIMITED_PURCHASE_OVER	Продано
SHOP_LIMIT_TODAY	Дневной лимит: %d / %d
SHOP_MY_BATTLE_POINT	Очки боя: %d
SHOP_MY_MEDAL_OF_HONOR	Медаль за храбрость: %d
SHOP_MY_TREE_FRUIT	Горькие ягоды: %d
SHOP_MY_YELLOW_FRUIT	Золотые ягоды: %d
SHOP_NOT_ENOUGH_10TH_COIN	У вас недостаточно юбилейных монет.
SHOP_NOT_ENOUGH_BATTLE_POINT	У вас недостаточно очков боя.
SHOP_NOT_ENOUGH_BNW	У вас не хватает монет провидца.
SHOP_NOT_ENOUGH_GUILD_LEVEL	Уровень гильдии слишком низкий.
SHOP_NOT_ENOUGH_MEDAL_OF_HONOR	Не хватает медалей за храбрость.
SHOP_NOT_ENOUGH_MONEY	Недостаточно вон или янг
SHOP_NOT_ENOUGH_MONEY_EX	У вас недостаточно янг.
SHOP_SELL_INFO	Выберите в окне инвентаря предмет, который хотите продать.
SHOP_SOLDOUT	Продано
SHOT_ERROR_UNKNOWN	Неизвестная ошибка дальней атаки: %s
SKILL_BLEEDING	Кровотечение
SKILL_BOHO	Отражать
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_BOOK	Вам необходим опыт, чтобы обучиться этому навыку.
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_STAT	Вам необходима книга, обучающая этому навыку.
SKILL_CHEONGEUN	Сильное тело.
SKILL_CRITICAL	Критический удар
SKILL_ENCHANT_POISON	Использовать яд
SKILL_EUNHYEONG	Невидимый
SKILL_FAINT	Головокружение
SKILL_FIND_TRAP	Искать западню
SKILL_FIRE	Сжечь
SKILL_FISHMIND	Рыба-шар активен
SKILL_GAMJI	взять
SKILL_GEOMGYEONG	Аура меча
SKILL_GICHEON	Помощь Дракона
SKILL_GIGONG	Циркуляция Ши
SKILL_GONGPO	Страх
SKILL_GRADE_NAME_GRAND_MASTER	%s Большой мастер
SKILL_GRADE_NAME_MASTER	%s Мастер
SKILL_GRADE_NAME_PERFECT_MASTER	%s  Великий мастер
SKILL_GROUP_ASSASSIN_1	Клинок
SKILL_GROUP_ASSASSIN_2	Лук
SKILL_GROUP_HORSE	Исскуство наездника
SKILL_GROUP_SHAMAN_1	Драконы
SKILL_GROUP_SHAMAN_2	Исцеление
SKILL_GROUP_SURA_1	Оружие
SKILL_GROUP_SURA_2	Магия
SKILL_GROUP_WARRIOR_1	Тело
SKILL_GROUP_WARRIOR_2	Умственный
SKILL_GWIGEOM	Заколдованный клинок
SKILL_GYEONGGONG	Легкая походка
SKILL_HEUKSIN	Защита тёмных сил
SKILL_HOSIN	Благословение
SKILL_INC_ATKSPD	Скорость атаки повышена
SKILL_INC_MOVSPD	Скорость движения повышена
SKILL_JEOJU	Заклинание
SKILL_JEONGEOP	Лечение
SKILL_JEONGWI	Берсерк
SKILL_JEONSINBANGEO	Полная защита
SKILL_JEONSINGONGGYEOK	Полная атака
SKILL_JEUNGRYEOK	Атака+
SKILL_JEUNGSOK	Скорость+
SKILL_JUMAGAP	Заколдованная броня
SKILL_KWAESOK	Быстрота
SKILL_MUYEONG	Дух Огня
SKILL_NEED_EMPTY_BOTTLE	У меня нет пустого кувшина.
SKILL_NEED_POISON_BOTTLE	У меня нет бутылки с ядом.
SKILL_ONLY_FOR_GUILD_WAR	Вы  можете пользоваться этим навыком только в Войне Гильдий.
SKILL_PABEOP	Отменить волшебство.
SKILL_POWERFUL_STRIKE	Парализирующая атака
SKILL_SEOMGWANG	Бомба-молния
SKILL_SLEEP	Сон
SKILL_SLOW	Медленно
SKILL_STUN	Парализовать
SKILL_SUHO	Стражник
SKILL_SUMMON_DESCRIPTION	Шанс на вызов: %d%%
SKILL_TOOLTIP_INT	Интеллект
SKILL_TOOLTIP_LEVEL	Уровень
SKILL_TOXICDIE	Отравление
SKILL_TOXICPOWER	Показатель атаки ядом улучшен
SKILL_TUSOK	Удар Духа
SNOWFLAKE_STICK_EVENT_MESSAGE_ADD_SNOW_BALL	Вы получили 1 снежок.
SNOWFLAKE_STICK_EVENT_MESSAGE_ADD_TREE_BRANCH	Вы получили 1 ветку снеговика.
SNOWFLAKE_STICK_EVENT_MESSAGE_CANNOT_USE_STICK_COOLTIME	Попробуй еще раз через %d минут(ы).
SNOWFLAKE_STICK_EVENT_MESSAGE_EVENT_END	Событие «Снежинки» закончилось.
SNOWFLAKE_STICK_EVENT_MESSAGE_EVENT_START	Событие «Снежинки» началось.
